VTMagazynId,NumerKompletu,SztukiZeskanowane,SztukiDeklarowane,ZeskanowanychNaKomplet,NaKomplet,Wiazka,KodCiety,Pracownik,DokDostawy,DataUtworzenia,DataDostawy,Komplet,Deklarowany,autocompleteEnabled,wymuszonaIlosc,DataDopisu,DopisanaIlosc,DostawaDopis,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted
16f8a055-5bd2-4ddb-9484-08d8434f7ded,0,18,18,16,16,23419089A,AEB18013,filonowicz,49734886,08/18/2020 10:51:39,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
419c24b6-1c4b-4f50-9485-08d8434f7ded,0,4,4,18,18,23419104A,AEB19113,filonowicz,49734886,08/18/2020 10:51:51,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
4c55aa24-5fff-4523-9486-08d8434f7ded,0,3,3,18,18,23419093A,AEB18313,filonowicz,49734886,08/18/2020 10:52:00,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
f0677f9e-30f3-4127-9487-08d8434f7ded,0,26,26,16,16,23419129A,AEB13113,filonowicz,49734886,08/18/2020 10:52:13,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
4b439e8c-0d3d-418c-9488-08d8434f7ded,0,4,4,18,18,22707378A,AEB07413,filonowicz,49734886,08/18/2020 10:52:22,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
49ba106e-4607-4f40-9489-08d8434f7ded,0,14,14,16,16,23419008A,AEB16013,filonowicz,49734886,08/18/2020 10:52:31,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
cbfc1fe6-9d8c-4fb5-948a-08d8434f7ded,0,11,11,16,16,23419082A,AEB17413,filonowicz,49734886,08/18/2020 10:52:36,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
39bf44cc-a972-4f56-948b-08d8434f7ded,0,21,21,18,18,23419111A,AEB19413,filonowicz,49734886,08/18/2020 10:52:42,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
b710046c-1cfc-44db-948c-08d8434f7ded,0,20,20,16,16,23419087A,AEB17913,filonowicz,49734886,08/18/2020 10:52:49,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
1d6a6581-0577-4919-948d-08d8434f7ded,0,15,15,16,16,23419086A,AEB17813,filonowicz,49734886,08/18/2020 10:52:58,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
65254591-142d-47fe-948e-08d8434f7ded,0,21,21,18,18,23419111A,AEB19409,filonowicz,49734886,08/18/2020 10:53:03,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
17cb4b7b-644c-4913-948f-08d8434f7ded,0,18,18,16,16,23419089A,AEB18009,filonowicz,49734886,08/18/2020 10:53:08,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
